zdaid;zdaversion;zdacreated;zdachanged;zdaname;zdaxepsg2154;zdayepsg2154;zdcid;zdapostalregion;zdatown;zdatype
43181;1119819-1119820;2014-12-29T00:00:00+00:00;2021-10-22T10:53:15+00:00;Plaisir - Les Clayes;623662;6859478;64195;78490;Plaisir;railStation
57674;57674-63594;2014-12-29T15:31:51+00:00;2021-10-22T10:53:10+00:00;Petit Jouy Les Loges;637300;6852687;63594;78322;Jouy-en-Josas;railStation
43176;1092575-1092576;2014-12-29T00:00:00+00:00;2021-10-22T10:53:08+00:00;Pantin;656087;6866609;72421;93055;Pantin;railStation
51494;1106620-1106622;2014-12-29T00:00:00+00:00;2021-10-22T10:53:06+00:00;Osny;631168;6885183;66977;95476;Osny;railStation
47921;1119796-1119797;2014-12-29T00:00:00+00:00;2021-10-22T10:53:05+00:00;Orgerus - Béhoust;604786;6859289;64175;78465;Orgerus;railStation
46552;1119779-1119780;2014-12-29T00:00:00+00:00;2021-10-22T10:52:59+00:00;Nogent - Le Perreux;662858;6860112;71609;94052;Nogent-sur-Marne;railStation
45705;45705-71269;2014-12-29T15:31:51+00:00;2021-10-22T10:52:48+00:00;Musée d'Orsay;650595;6862469;71269;75107;Paris 7e;railStation
45761;45761-60084;2014-12-29T15:31:51+00:00;2021-10-22T10:52:45+00:00;Moulin Galant;661165;6831982;60084;91174;Corbeil-Essonnes;railStation
43168;1119763-1119764;2014-12-29T00:00:00+00:00;2021-10-22T10:52:41+00:00;Montsoult - Maffliers;650513;6885356;67000;95430;Montsoult;railStation
44161;1119742-1119743;2014-12-29T00:00:00+00:00;2021-10-22T10:52:37+00:00;Montgeroult - Courcelles;627159;6887234;67076;95422;Montgeroult;railStation
47585;1098524-1098525;2014-12-29T00:00:00+00:00;2021-10-22T10:52:28+00:00;Mériel;641948;6886726;67065;95392;Mériel;railStation
43156;1106627-1106626;2014-12-29T00:00:00+00:00;2021-10-22T10:52:13+00:00;Maisse;655103;6810547;59470;91359;Maisse;railStation
47589;1119630-1119631;2014-12-29T00:00:00+00:00;2021-10-22T10:52:02+00:00;L'Isle-Adam - Parmain;642318;6890814;67172;95480;Parmain;railStation
58288;58288-73096;2014-12-29T15:31:51+00:00;2021-10-22T10:51:59+00:00;Les Yvris Noisy-le-Grand;669161;6858198;73096;93051;Noisy-le-Grand;railStation
46163;1096191-1096182;2014-12-29T00:00:00+00:00;2021-10-22T10:51:37+00:00;Le Blanc-Mesnil;661563;6870386;72648;93007;Le Blanc-Mesnil;railStation
43143;1095761-1095762;2014-12-29T00:00:00+00:00;2021-10-22T10:51:27+00:00;La Frette - Montigny;640002;6875861;65659;95257;La Frette-sur-Seine;railStation
43136;1095420-1095421;2014-12-29T00:00:00+00:00;2021-10-22T10:51:15+00:00;Jouy-en-Josas;638585;6851953;63523;78322;Jouy-en-Josas;railStation
46975;1274428-1274429;2014-12-29T00:00:00+00:00;2021-10-22T10:51:11+00:00;Issou - Porcheville;610979;6876171;65668;78314;Issou;railStation
47484;1094973-1094984;2014-12-29T00:00:00+00:00;2021-10-22T10:51:11+00:00;Isles - Armentières - Congis;700576;6877606;69162;77231;Isles-les-Meldeuses;railStation
43133;1092857-1092861;2014-12-29T00:00:00+00:00;2021-10-22T10:50:59+00:00;Groslay;652682;6876241;65749;95288;Groslay;railStation
43130;1092278-1092312;2014-12-29T00:00:00+00:00;2021-10-22T10:40:48+00:00;Gennevilliers;649299;6870538;72303;92036;Gennevilliers;railStation
43123;1115703-1091661;2014-12-29T00:00:00+00:00;2021-10-22T10:40:36+00:00;Fontaine-le-Port;681561;6820817;61767;77188;Fontaine-le-Port;railStation
47911;1119604-1119605;2014-12-29T00:00:00+00:00;2021-10-22T10:40:33+00:00;Fontainebleau - Avon;679783;6812966;61579;77014;Avon;railStation
